id,text,class
29757069,"Early detection of breast cancer-related lymphedema through simple self-monitoring techniques may lead to early treatment and improved outcomes. Prospective study of circumference measurements at four time points before, during, and after adjuvant chemotherapy with docetaxel, doxorubicin, and cyclophosphamide. Volume was calculated using the 10-cm interval circumference measurement method (reference test) and percentage difference between arms, for volume and circumference, was determined. First, the most valid single measurement location was determined by calculating Pearson's correlation coefficient relative to the reference test. Second, to evaluate the responsiveness to change over four time points, outcomes of the selected single measurement and the reference test were analyzed by repeated-measures ANOVA. Third, area under the curve (AUC) was used to determine the optimal sensitivity and specificity of the selected single measurement site (index test). Relationship between lymphedema (yes/no) and heaviness and swelling (yes/no) was analyzed using phi-coefficient. ???=?0.64). Circumference difference between arms of 4% measured at 30?cm proximal to the styloid process can be used as a surveillance site for further monitoring of patients at risk for lymphedema and may contribute to early diagnosis. Feelings of heaviness or swelling have moderate relationship with lymphedema, which needs to be confirmed in clinical practice.",breast_neoplasms
29751773,"Desmoid-type fibromatoses are rare benign and fibrous tumors that account for approximately 0.03% of total neoplasms. Within this category of neoplasms, pancreatic desmoid-type fibromatosis is an extremely rare subgroup, accounting for approximately 5% of desmoid-type fibromatoses. Although the etiology is unknown, some risk factors include trauma, surgery, family history of desmoid tumor, pregnancy, use of contraceptives, genetic mutation, and familial adenomatous polyposis or Gardner syndrome. Desmoid-type tumors are primarily diagnosed by pathological and immunohistochemical studies. The treatment of choice is surgical resection of the tumor. Systemic chemotherapy and radiotherapy are optional treatment approaches for patients with high risk for surgery. The following is a report of an unusual case of a pancreatic desmoid-type fibromatosis in which a very rare variation in the immunohistochemistry findings was demonstrated: slides were immunopositive for S100 protein and not immunonegative. Most desmoid tumors are immunonegative for S100 protein with just a few cases being positive for this protein. We describe the case of a 15-year-old boy, a Chinese national, who was diagnosed as having a pancreatic desmoid-type fibromatosis. He was a healthy individual who was incidentally diagnosed with an abdominal mass. His chief complaints were mild generalized abdominal pain for 1 week, nausea, vomiting, and a low-grade fever. An enhanced computed tomography scan of his abdomen showed a large cystic mass in the anterior surface of the body of his pancreas. He underwent a radical resection of the pancreatic mass, partial pancreatectomy, splenectomy, segmental resection of transverse colon and distal jejunum, and subsequently a one-stage jejunojejunostomy and colonic anastomosis. Postoperatively, he was diagnosed as having a desmoid-type fibromatosis of the pancreas by pathological and immunohistochemical studies. The diagnosis of desmoid-type fibromatosis is usually incidental and challenging. Pathological and immunohistochemical testing are essential for confirming diagnosis where demonstration of ??-catenin nuclear staining is probably the single most important characteristic. Other markers, such as vimentin, are usually positive, while S100 protein is usually negative. Our case however, confirms that there are rare cases that can be S100 positive. This is the first diagnosed case of pancreatic desmoid-type fibromatosis with S100 protein positivity.",breast_neoplasms
29747486,"The purpose of this study was to investigate the non-inferiority of omitting radiotherapy (RT) after breast-conserving surgery (BCS) for hormone receptor (HR)?positive T1N0 breast cancer in elderly women. From 2004 to 2014, HR-positive T1N0 breast cancer patients aged 50 years or older and receiving BCS were retrieved from the Surveillance, Epidemiology, and End. 18 database. After propensity score matching between the no-RT and RT groups, univariate and multivariate analyses were performed. Identified prognostic factors were used to stratify the risk groups. In each risk group, 10-year cancer-",breast_neoplasms
29742739,"Metaplastic breast carcinoma (MBC) is rare subtype of breast carcinoma and is regarded as ductal carcinoma that undergoes metaplasia into a glandular growth pattern. Spindle cell carcinoma (SPC) is a subtype of MBC with a predominant spindle cell component. The patient was a 52-year-old female with invasive ductal breast carcinoma who underwent a modified radical mastectomy and an axillary node dissection. A new lump was observed underneath the surgical site between the pectoralis major and pectoralis minor muscles 45 days after the patient underwent sequential postoperative chemotherapy and radiotherapy. It was speculated that the new lesion had developed during postoperative adjuvant therapy. And the new lesion was regarded as a recurrence. We performed a wide dissection of the tumor with negative margins. The pathology of the tumor indicated SPC. Then, the patient received chemotherapy and demonstrated a poor response. Local recurrence and pulmonary metastasis developed shortly afterwards, and the patient succumbed to the disease within 5 months. Local recurrence with metaplastic SPC transformed from invasive ductal breast carcinoma during postoperative chemotherapy and radiotherapy is rare. The failure of subsequent chemotherapy and the progression of disease indicate the aggressive nature of SPC and its decreased sensitivity to chemotherapy and radiotherapy. Further studies must be performed to improve the prognosis of these patients.",breast_neoplasms
29740502,"Breast cancer is estimated to be the most common cancer worldwide. We sought to assemble publicly available data from Africa to provide estimates of the incidence of breast cancer on the continent. A systematic search of Medline, EMBASE, Global Health and African Journals Online (AJOL) was conducted. We included population- or hospital-based registry studies on breast cancer conducted in Africa, and providing estimates of the crude incidence of breast cancer among women. A random effects meta-analysis was employed to determine the pooled incidence of breast cancer across studies. The literature search returned 4648 records, with 41 studies conducted across 54 study sites in 22 African countries selected. We observed important variations in reported cancer incidence between population- and hospital-based cancer registries. The overall pooled crude incidence of breast cancer from population-based registries was 24.5 per 100?000 person years (95% confidence interval (CI) 20.1-28.9). The incidence in North Africa was higher at 29.3 per 100?000 (95% CI 20.0-38.7) than Sub-Saharan Africa (SSA) at 22.4 per 100?000 (95% CI 17.2-28.0). In hospital-based registries, the overall pooled crude incidence rate was estimated at 23.6 per 100?000 (95% CI 18.5-28.7). SSA and Northern Africa had relatively comparable rates at 24.0 per 100?000 (95% CI 17.5-30.4) and 23.2 per 100?000 (95% CI 6.6-39.7), respectively. Across both registries, incidence rates increased considerably between 2000 and 2015. The available evidence suggests a growing incidence of breast cancer in Africa. The representativeness of these estimates is uncertain due to the paucity of data in several countries and calendar years, as well as inconsistency in data collation and quality across existing cancer registries.",breast_neoplasms
29736850,"To assess whether contralateral parenchymal enhancement reproduces as an independent biomarker for patient survival in an independent patient cohort from a different cancer institution. This is a HIPAA-compliant IRB approved retrospective study. Patients with ER-positive/HER2-negative operable invasive ductal carcinoma and preoperative dynamic contrast-enhanced MRI were consecutively included between 2005 and 2009. The parenchyma of the breast contralateral to known cancer was segmented automatically on MRI and contralateral parenchymal enhancement (CPE) was calculated. CPE was split into tertiles and tested for association with invasive disease-free survival (IDFS) and overall survival (OS). Propensity score analysis with inverse probability weighting (IPW) was used to adjust CPE for patient and tumour characteristics as well as systemic therapy. Three hundred and two patients were included. The median age at diagnosis was 48 years (interquartile range, 42-57). Median follow-up was 88 months (interquartile range, 76-102); 15/302 (5%) patients died and 37/302 (13%) had a recurrence or died. In context of multivariable analysis, IPW-adjusted CPE was associated with IDFS [hazard ratio (HR) = 0.27, 95% confidence interval (CI) = 0.05-0.68, p = 0.004] and OS (HR = 0.22, 95% CI = 0.00-0.83, p = 0.032). Contralateral parenchymal enhancement on pre-treatment dynamic contrast-enhanced MRI as an independent biomarker of survival in patients with ER-positive/HER2-negative breast cancer has been upheld in this study. These findings are a promising next step towards a practical and inexpensive test for risk stratification of ER-positive/HER2-negative breast cancer. ? High parenchymal-enhancement in the disease-free contralateral breast reproduces as biomarker for survival. ? This is in patients with ER-positive/HER2-negative breast cancer from an independent cancer centre. ? This is independent of patient and pathology parameters and systemic therapy.",breast_neoplasms
29732352,"Primary prophylaxis with granulocyte colony-stimulating factor can effectively prevent febrile neutropenia (FN) during breast cancer treatment. The aims of this study were to evaluate the incidence of FN and the ANC profile in patients undergoing chemotherapy and pegfilgrastim primary prophylaxis. 3. Bone pain was checked via the numeral rating scale (NRS). 3. Age was negatively correlated with nadir depth (r = -0.137, P = 0.009). Severe pain higher than NRS 7 occurred in less than 20% of patients after the administration of pegfilgrastim. Incidence of FN was low during the chemotherapy by primary prophylaxis with pegfilgrastim. The ANC nadir was seen on day 7 after chemotherapy. Bone pain with pegfilgrastim was well tolerated during TAC chemotherapy.",breast_neoplasms
29728085,"Positron Emission Tomography/computed tomography (PET/CT) is an imaging technique which has a role in the detection and staging malignancies (both in first diagnosis and follow-up). The finding of an unexpected region of FDG (Fluorodeoxyglucose) uptake can occur when performing whole-body FDG-PET, raising the possibility of a second primary tumor. The aim of this study was to evaluate our experience of second primary cancer incidentally discovered during PET/CT examination performed for pancreatic diseases, during the initial work-up or follow-up after surgical resection. In this study, a retrospective evaluation of a prospectively collected data base was performed. Three hundred ninety- nine patients with pancreatic pathology were evaluated by whole body PET/CT imaging from January 2004 to December 2014. Among them, 348 patients were scanned before surgical resection and 51 during the course of their follow-up (pancreatic cancer). Median follow-up time was 29?months (range 14-124). Fifty-six patients (14%) had incidental uptake of FDG in their organs: 31 patients had focal uptake and 25 showed diffuse with or without focal uptake. All patients with focal uptake were investigated, and invasive malignancy was diagnosed in 22 patients: 14 colon, 4 lung, 1 larynx, 1 urothelial, 1 breast cancer, and 1 colon metastasis from pancreatic cancer. Twenty patients underwent resection, and 6 endoscopic removal of colonic polyps. Three patients were not operated for advanced disease, and two patients did not show any pathology (PET/CT false positive). Of the 10 patients investigated for diffuse uptake, no malignancy was found; none of these patients developed a second cancer during the follow-up. As in other malignancies, unexpected FDG uptake can occur in patients having PET/CT investigation for pancreatic diseases. Focal uptake is likely to be a malignancy and deserves further investigations, although the stage and the poor prognosis of primary pancreatic cancer should be kept in mind. Some selected patients may benefit from the aggressive treatment of incidental lesions and show survival benefit.",breast_neoplasms
29721144,"Breast cancer is a common cause of death among women in Burkina Faso. The aim of this study was to determine a descriptive profile of 80 women and establish a description of risk factors associated with breast cancer in these women. This cross-sectional study recruited women with breast cancer in Ouagadougou. Teaching Hospital Yalgado Ouedraogo in Burkina Faso from January 2015 to February 2016. We have collected data on socio-demographic characteristics, reproductive status, clinical information, treatment and molecular characteristics. The average age of the study population was 48.2??12.4 years. Family history of breast cancer was reported in 18.75% of the studied participants against 16.25% family history for other types of cancer. Patients from urban areas represented 87.5% of our studied population with 58.75% of household, multiparous (55.0%), no aborts status (56.2%), post-menopausal women (53.75%), no oral contraception (63.75%), regular menstrual cycle (71.25%) and the prevalence of obesity was 12.5%. The clinical and molecular characteristics showed that left-sided breast cancer accounted for 51.25 %, high grade (II and III) represented 93.75 % of cases and",breast_neoplasms
29719317,"Malignant diseases are serious socio-medical problem, being that they cause grave problems in terms of health, social and economic perspective to an individual, in particular, and society in general. A proper reporting and monitoring system enables adequate calculation of indicators and evidence based decision making. The study aims to examine the appearance of malignancies diagnosed and reported in Kosovo for a three years period: 2012, 2013, and 2014 by its modalities such as by the years of appearance, gender, age, and most frequent types of malignancies. The study is a retrospective cohort research whereas source data we used are reports of malignant diseases from National Cancer Register (NCR) in the Health Information System (HIS) at the National Institute of Public Health of Kosova (NIPHK). In Kosova during years 2012, 2013 and 2014 a total of 7437 cases of malignant diseases were reported; in 2012 were 31%, in 2013 were 24.3%, and during 2014 higher number of cases were reported, 3320 or 44.6%. During the reporting period, the appearance of malignant diseases in both sexes is about equal, with a light predominance of male cases with 50.8% (or 3780 cases), while by age group were represented with the elderly, from ages 50 to 79 years with 5111 cases or 68.8% of total malignancies. The highest number of malignant diseases was reported during year 2014 due to better reporting through HIS and NCR. Malignancies attacked both genders equally, whereas the most common types of malignancies were: melanoma and other malignant neoplasms of the skin, malignant diseases of the respiratory and intrathoracic organs, digestive tract, breast and female genital tract. The most affected the older ones.",breast_neoplasms
29715141,"To compare toxicity, response, and survival outcomes of patients with hepatic metastases from breast cancer who underwent transarterial chemoembolization (TACE) or radioembolization (TARE). A retrospective review was carried out of all patients who underwent TACE or TARE for liver-dominant breast cancer metastases between January 2006 and March 2016 at an academic medical center in the United States. Seventeen patients in the TACE group and 30 patients in the TARE group received 32 TACE and 49 TARE treatments, respectively. Median follow-up was 9 months. Both groups had similar background variables. More all-grade adverse events were seen in the TACE group (71% vs. 44%; p=0.02). Median overall survival in the TACE group was 4.6 months compared to 12.9 months in the TARE group (p=0.2349). Treatment type was not an independent prognostic factor. TARE is better tolerated than TACE for the treatment of liver-dominant breast cancer metastasis. There was a trend towards improved survival with TARE; however, it did not approach statistical significance. Larger studies are needed to validate these findings.",breast_neoplasms
29715129,"The objective of this study was to define the rates of discrepancy between outside pathological diagnoses and secondary reviews. We assessed the rates of discordance between outside diagnoses and secondary reviews, categorizing by organ site and minor or major (affecting patient care) discordances. A total of 9,289 consecutive surgical pathology (SP) and cytopathology (CP) cases reviewed in 2015 were identified. For 8,191 outside SP cases reviewed, the overall discordance rate (DR) was 14.2% (2.2% major, 12.0% minor). Specifically, neuropathology had the highest DR (10.9%), cutaneous and breast the lowest (1.1% each). Among 1,098 CP cases, the total DR was 13.7% (3.0% major, 10.7% minor). The majority of CP cases (1,066) were non-gynecological and had a total DR of 13.4% (2.7% major, 10.7% minor). While major DR was low, certain subspecialties had high DRs. This project can help identify areas where focused education could help improve pathological diagnostic accuracy for cancer.",breast_neoplasms
29715116,"Genomic signatures are needed for the determination of prognosis in patients with early stage, estrogen receptor (ER)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancers. EndoPredict test is a RNA-based multigene assay that assesses the risk of 10-year relapse in this context. Quality assessment is a mandatory requirement for a laboratory to address the analytical quality of these molecular analyses. The aim of the study was to demonstrate the robustness of this prognostic test, its usefulness for the patient's treatment strategy, at the national level. This study presents a pilot quality assessment (QA) of the EndoPredict test using composite design, including the follow-up of internal control values (qREF) of the 12 genes of the assay for 151 independent tests and one formalin-fixed paraffin embedded (FFPE) breast cancer sample. The evaluation of the test was performed by comparing the results of six independent medical laboratories. All measures were highly reproducible and quantification of the qREF showed a standard deviation of less than 0.50 and a coefficient of variation always of <2%. All laboratories found concordant results for the breast cancer samples. The mean EndoPredict (EP) score for the breast cancer sample was 4.97??0.24. The mean of EPclin score was 3.07??0.05. This first French independent reported QA assessed the robustness and reproducibility of the EndoPredict test. Such a simple composite design could represent an adapted QA for an expensive diagnostic test.",breast_neoplasms
29715108,"Breast tumor interleukin-6 (IL-6) level increases with tumor grade, and elevated serum IL-6 correlates with poor survival in patients with breast cancer. Epithelial-mesenchymal transition (EMT) phenotypes are associated with enhanced metastasis and unfavorable clinical outcome in breast cancer. Therefore, we examined whether IL-6 induced EMT phenotype characterized in breast cancer cells. MCF-7 cells treated with different concentrations (10-50 ng/ml) of IL-6 for 24 and 48 h. Western blotting, flow cytometry, and cell migration assay were used to test whether IL-6 promoted tumor-initiating ability in MCF-7 cells. In this study, we found that the induction of EMT by IL-6 resulted in the acquisition of mesenchymal traits and the increase of tumor-initiating ability in MCF-7 cells. Moreover, we found that 2-phenylnaphthy-ridin-4-one derivatives were able to repress IL-6 induced EMT phenotype and tumor-initiating ability. Among these deriveratives, LYF-11 possessed the most potential inhibitory activity. LYF-11 effectively inhibited IL-6-induced EMT phenotype and tumor-initiating ability via the inhibition of Janus kinase 2 (JAK2)/signal transducer and activator of transcription 3 (STAT3) signaling pathway. Our results suggest a connection between IL-6 receptor activity and EMT phenotype, and tumor-initiating ability. Moreover, LYF-11 is a potential compound for breast cancer therapy by targeting JAK2/STAT3 signaling pathway.",breast_neoplasms
29715105,"The human epidermal growth factor receptor (HER2) is considered as one of the most well-characterized tumor-associated antigens for cancer therapy and plays an important role in the growth and progression of breast cancer. Overexpression of HER2 in various cancers and the availability of its extracellular region makes it a clinically useful target for the development of tumor-antigen specific agents. In this study, we have prepared a HER2-targeted hybrid peptide as a single-photon emission computed tomography (SPECT) imaging probe and evaluated its tumor targeting potential in subcutaneous HER2-positive breast cancer xenograft models. 99mTc-HER2 were evaluated in HER2-positive (SKBR3) and ER-positive (MCF7 and T47D) breast cancer cell lines. In vivo tumor targeting characteristics were investigated in both SKBR3 (HER2-positive) and MDA-MB-231 (HER2-negative) xenografted animal models. 99mTc-HER2 was found in most of the major organs excluding the kidneys in both healthy and tumor-bearing mice. 99mTc-HER2-targeted peptide may be a promising tumor imaging probe and warrants further investigation.",breast_neoplasms
29715090,"In breast cancer (BC) care, radiation therapy (RT) is an efficient treatment to control localized tumor. Radiobiological research is needed to understand molecular differences that affect radiosensitivity of different tumor subtypes and the response variability. The aim of this study was to analyze gene expression profiling (GEP) in primary BC cells following irradiation with doses of 9 Gy and 23 Gy delivered by intraoperative electron radiation therapy (IOERT) in order to define gene signatures of response to high doses of ionizing radiation. We performed GEP by cDNA microarrays and evaluated cell survival after IOERT treatment in primary BC cell cultures. Real-time quantitative reverse transcription polymerase chain reaction (qRT-PCR) was performed to validate candidate genes. We showed, for the first time, a 4-gene and a 6-gene signature, as new molecular biomarkers, in two primary BC cell cultures after exposure at 9 Gy and 23 Gy respectively, for which we observed a significantly high survival rate. Gene signatures activated by different doses of ionizing radiation may predict response to RT and contribute to defining a personalized biological-driven treatment plan.",breast_neoplasms
29715083,"Tissue factor (TF) expression increases cancer stem cell (CSC) activity in breast and lung cancer. There are ongoing studies focused on targeting CSCs via anti-TF treatment, for breast and lung cancer therapy. Herein, the aim was to determine whether targeting TF could have an anti-CSC therapeutic role in colorectal cancer (CRC). Evaluation of colonosphere-forming efficiency (CFE) and aldehyde dehydrogenase (ALDH) expression level was used to quantify CSC activity in two CRC cell lines, after TF knockdown (TFKD) or TF over-expression (TFOE). TFKD resulted in increased levels of ALDH in SW620 (1.31??0.04-fold, p<0.001) and DLD-1 (1.63??0.14-fold, p=0.04) cells. CFE was ",breast_neoplasms
29706254,"The study sought to determine if mammography quality is associated with the false positive (FP) rate in the Quebec breast cancer screening program in 2004 and?2005. Mammography quality of a random sample of screen-film mammograms was evaluated by an expert radiologist following the criteria of the Canadian Association of Radiologists. For each screening examination, scores ranging from 1 (poor quality) to 5 (excellent quality) were attributed for positioning, compression, contrast, exposure level, sharpness, and artifacts. A final overall quality score (lower or higher) was also given. Poisson regression models with robust estimation of variance and adjusted for potential confounding factors were used to assess associations of mammography quality with the FP rate. Among 1,209 women without cancer, there were 104 (8.6%) FPs. Lower overall mammography quality is associated with an increase in the FP rate (risk ratio [RR], 1.4; 95% confidence interval [CI], 1.0-2.1; P?=?.07) but this increase was not statistically significant. Artifacts were associated with an increase in the FP rate (RR, 2.1; 95% CI, 1.3-3.3; P?=?.01) whereas lower quality of exposure level was related to a reduction of the FP rate (RR, 0.4; 95% CI, 0.1-1.0; P?=?.01). Lower quality scores for all other quality attributes were related to a nonstatistically significant increase in the FP rate of 10%-30%. Artifacts can have a substantial effect on the FP rate. The effect of overall mammography quality on the FP rate may also be substantial and needs to be clarified.",breast_neoplasms
